,accuracy,roc_auc,pr_auc,f1,mcc,roc_std,pr_std,n_folds
Name only (3-5 char n-grams),0.829481136162999,0.8577284583660145,0.9030687019252298,0.8339543987689308,0.5274758694583217,0.20481086929487163,0.20409328245090197,54.0
Numeric only (k3/k6/GC/Homology),0.65562584789691,0.6588031018153538,0.7925191801902722,0.6279547422835351,0.16153564744549379,0.31107612487995395,0.27320465986841236,54.0
Name + Numeric (combined),0.8356323181286153,0.8766752786373226,0.8891902322323195,0.8349662085062194,0.5278696130337346,0.22106380234848386,0.23596543345160467,54.0
