round,mean_auc,mean_cov3,n_unseen
1,0.9327192453633109,0.773943256605504,825
2,0.9404782044775277,0.7642551104600256,863
3,0.9697242206235012,0.7642551104600256,791
4,0.9825400822630739,0.773943256605504,741
5,0.8985949612403101,0.7642551104600255,778
6,0.921578013991492,0.773943256605504,966
7,0.9551397969119487,0.7675754610169265,881
8,0.9196544846117073,0.7799714364293573,904
9,0.9380990088195943,0.773943256605504,797
10,0.9099969834087482,0.7642551104600255,788
