,roc_auc,pr_auc,f1,mcc
XGBoost,0.9247993924418553,0.9158042075626343,0.8107336568655439,0.6810461474133501
XGBoost_deep,0.9181686754946787,0.9058407940786719,0.8018327605956472,0.6669411918403124
XGBoost_wide,0.9265484877104717,0.9170086248786565,0.8063492063492064,0.676946693330182
Random Forest,0.8757186075617155,0.8915452303451578,0.8094951923076924,0.6963400946462425
