round,auc,n_unseen
1,0.9801823053177239,763
2,0.9843455776959614,543
3,0.9920314014802204,492
4,0.9665367121507472,369
5,0.9733533834586466,508
6,0.9938026277584204,671
7,0.9875084337349398,540
8,0.9846726022765693,562
9,0.9825310559006211,410
10,0.9842087485222091,687
11,0.963035843616338,769
12,0.9771186605287182,524
