round,auc,n_unseen
1,0.7903124817985904,763
2,0.9015907366290998,543
3,0.943746896502802,492
4,0.8764349144466104,369
5,0.869874686716792,508
6,0.8528600464576074,671
7,0.965898795180723,540
8,0.9831849430857659,562
9,0.9648856578204404,410
10,0.8871812193886168,687
11,0.9012763224422307,769
12,0.9132820542703416,524
