phage,host,accession,cluster,subcluster,label,source
achebe,mycobacterium smegmatis,KY083059,,,1,phagesdb
acheetah,mycobacterium smegmatis,,,,1,phagesdb
achelous,mycobacterium smegmatis,,,,1,phagesdb
achernar,arthrobacter sp.,,,,1,phagesdb
achey,mycobacterium smegmatis,,,,1,phagesdb
achilles,mycobacterium smegmatis,,,,1,phagesdb
achilles13,mycobacterium smegmatis,,,,1,phagesdb
achinko,arthrobacter globiformis,,,,1,phagesdb
achlys,microbacterium foliorum,,,,1,phagesdb
achmed,mycobacterium smegmatis,,,,1,phagesdb
achoo,mycobacterium smegmatis,,,,1,phagesdb
achtoophria,gordonia terrae,,,,1,phagesdb
ackerman,arthrobacter globiformis,,,,1,phagesdb
ackers,microbacterium foliorum,,,,1,phagesdb
ackert,gordonia terrae,,,,1,phagesdb
acme,mycobacterium smegmatis,MG812486,,,1,phagesdb
acolyte,mycobacterium smegmatis,MH509441,,,1,phagesdb
acorn,gordonia terrae,,,,1,phagesdb
acorn15,mycobacterium smegmatis,,,,1,phagesdb
acosta,microbacterium foliorum,PQ202989,,,1,phagesdb
acousticblip,mycobacterium smegmatis,,,,1,phagesdb
acquayera,gordonia rubripertincta,,,,1,phagesdb
acquire49,mycobacterium smegmatis,MK279905,,,1,phagesdb
actinup,mycobacterium smegmatis,MH051246,,,1,phagesdb
actionbdixon,mycobacterium smegmatis,,,,1,phagesdb
actnaomi,mycobacterium smegmatis,,,,1,phagesdb
actsfourtwelve,gordonia terrae,,,,1,phagesdb
acura,gordonia terrae,,,,1,phagesdb
acute,microbacterium foliorum,,,,1,phagesdb
acxx,mycobacterium smegmatis,,,,1,phagesdb
ada1,gordonia terrae,,,,1,phagesdb
adagio,curtobacterium flaccumfaciens,,,,1,phagesdb
adahisdi,mycobacterium smegmatis,MH697575,,,1,phagesdb
adahrose23,gordonia terrae,,,,1,phagesdb
adaia,arthrobacter sulfureus,MH834594,,,1,phagesdb
adalia,arthrobacter globiformis,,,,1,phagesdb
adaline2,gordonia terrae,,,,1,phagesdb
adam,mycobacterium smegmatis,,,,1,phagesdb
adam007,mycobacterium smegmatis,,,,1,phagesdb
adam05,streptomyces venezuelae,,,,1,phagesdb
adam16,arthrobacter globiformis,,,,1,phagesdb
adamandeve,microbacterium foliorum,,,,1,phagesdb
adamantium24,gordonia rubripertincta,,,,1,phagesdb
adamas,streptomyces scabiei,,,,1,phagesdb
adame,gordonia terrae,,,,1,phagesdb
adamo,mycobacterium smegmatis,,,,1,phagesdb
adamrl,arthrobacter globiformis,,,,1,phagesdb
adas,arthrobacter globiformis,PV876959,,,1,phagesdb
adastra,gordonia rubripertincta,,,,1,phagesdb
adastras,microbacterium foliorum,,,,1,phagesdb
adat,arthrobacter sp.,MF668266,,,1,phagesdb
adawg,microbacterium foliorum,,,,1,phagesdb
adawi,mycobacterium smegmatis,KF279411,,,1,phagesdb
addiepaddie,microbacterium foliorum,,,,1,phagesdb
addileviosa,mycobacterium smegmatis,,,,1,phagesdb
addirose,curtobacterium flaccumfaciens,PQ868986,,,1,phagesdb
addis,streptomyces coelicolor,,,,1,phagesdb
addison,gordonia terrae,,,,1,phagesdb
addisonnicole,microbacterium foliorum,,,,1,phagesdb
addmin,mycobacterium smegmatis,,,,1,phagesdb
addoil,gordonia terrae,,,,1,phagesdb
addy,mycobacterium smegmatis,,,,1,phagesdb
adebowale,mycobacterium smegmatis,,,,1,phagesdb
adelace,gordonia rubripertincta,,,,1,phagesdb
adelaide,corynebacterium xerosis,MK977715,,,1,phagesdb
adele,microbacterium foliorum,,,,1,phagesdb
adeledazeem,microbacterium foliorum,,,,1,phagesdb
adeline,gordonia rubripertincta,,,,1,phagesdb
adelsberg,gordonia terrae,,,,1,phagesdb
adelynn,mycobacterium smegmatis,,,,1,phagesdb
adeo,mycobacterium smegmatis,,,,1,phagesdb
adephagia,mycobacterium smegmatis,JF704105,,,1,phagesdb
ader,arthrobacter globiformis,,,,1,phagesdb
adgers,gordonia terrae,MG757152,,,1,phagesdb
adgo,microbacterium foliorum,,,,1,phagesdb
adialp,mycobacterium smegmatis,,,,1,phagesdb
adigun,mycobacterium smegmatis,,,,1,phagesdb
adilations,microbacterium foliorum,,,,1,phagesdb
adillinmatsal,microbacterium foliorum,,,,1,phagesdb
adina,microbacterium foliorum,,,,1,phagesdb
ading,mycobacterium smegmatis,MK359347,,,1,phagesdb
adityaschild,microbacterium foliorum,,,,1,phagesdb
adjutor,mycobacterium smegmatis,EU676000,,,1,phagesdb
adkins30,mycobacterium smegmatis,,,,1,phagesdb
adler,mycobacterium abscessus,KC960489,,,1,phagesdb
adlitam,mycobacterium smegmatis,MK450427,,,1,phagesdb
admeliora,mycobacterium smegmatis,,,,1,phagesdb
admiralben,mycobacterium smegmatis,,,,1,phagesdb
adnama,mycobacterium smegmatis,MH371112,,,1,phagesdb
adobe,mycobacterium smegmatis,,,,1,phagesdb
adolin,arthrobacter atrocyaneus,MN813676,,,1,phagesdb
adonis,mycobacterium smegmatis,MH001453,,,1,phagesdb
adonis18,mycobacterium smegmatis,,,,1,phagesdb
adooma,arthrobacter globiformis,,,,1,phagesdb
adoptaadorbs,arthrobacter globiformis,,,,1,phagesdb
adopted1,microbacterium foliorum,,,,1,phagesdb
adopted66,mycobacterium smegmatis,,,,1,phagesdb
adoptee,microbacterium foliorum,,,,1,phagesdb
adoptollie,arthrobacter sp.,,,,1,phagesdb
