phage,host,accession,cluster,subcluster,label,source
belltower,mycobacterium smegmatis,,,,1,phagesdb
bellum,gordonia rubripertincta,,,,1,phagesdb
bellusterra,mycobacterium smegmatis,KF841475,,,1,phagesdb
bellybum,mycobacterium smegmatis,,,,1,phagesdb
bellybutton,mycobacterium smegmatis,,,,1,phagesdb
belmont,mycobacterium smegmatis,,,,1,phagesdb
belmontskp,microbacterium foliorum,MW924640,,,1,phagesdb
belphegor,gordonia terrae,PV366776,,,1,phagesdb
belsnickel,mycobacterium smegmatis,,,,1,phagesdb
belter,microbacterium foliorum,,,,1,phagesdb
belthelas,microbacterium foliorum,MK801730,,,1,phagesdb
beluga,mycobacterium smegmatis,,,,1,phagesdb
beluno,microbacterium foliorum,,,,1,phagesdb
belv,mycobacterium smegmatis,,,,1,phagesdb
belvedere,mycobacterium smegmatis,,,,1,phagesdb
bema,mycobacterium smegmatis,,,,1,phagesdb
bemo,mycobacterium smegmatis,,,,1,phagesdb
bems,microbacterium foliorum,,,,1,phagesdb
ben01,mycobacterium smegmatis,,,,1,phagesdb
ben11,mycobacterium smegmatis,PV755397,,,1,phagesdb
benaiah,rhodococcus equi,,,,1,phagesdb
benben,microbacterium foliorum,,,,1,phagesdb
bencabbage,gordonia terrae,,,,1,phagesdb
bench,mycobacterium smegmatis,ON456345,,,1,phagesdb
benchscraper,arthrobacter globiformis,PQ362661,,,1,phagesdb
benchsquad,mycobacterium smegmatis,,,,1,phagesdb
benchwarmer,arthrobacter globiformis,,,,1,phagesdb
benczkowski14,gordonia terrae,KU963262,,,1,phagesdb
bender,mycobacterium smegmatis,,,,1,phagesdb
bendy,mycobacterium smegmatis,,,,1,phagesdb
bendypretzel,mycobacterium smegmatis,,,,1,phagesdb
benedict,mycobacterium smegmatis,JN083852,,,1,phagesdb
benedict11,mycobacterium smegmatis,,,,1,phagesdb
benernede,microbacterium foliorum,,,,1,phagesdb
benfirstlast,gordonia terrae,,,,1,phagesdb
bengal,microbacterium foliorum,PX234426,,,1,phagesdb
bengaliballa92,mycobacterium smegmatis,,,,1,phagesdb
bengivuitton,mycobacterium smegmatis,MT658804,,,1,phagesdb
benho,gordonia terrae,,,,1,phagesdb
beni05,mycobacterium smegmatis,,,,1,phagesdb
benishla,microbacterium foliorum,,,,1,phagesdb
benito,gordonia terrae,,,,1,phagesdb
benitoantonio,arthrobacter sp.,OP434451,,,1,phagesdb
benitobunny,gordonia terrae,,,,1,phagesdb
benitola,arthrobacter globiformis,,,,1,phagesdb
benitovp,microbacterium foliorum,,,,1,phagesdb
benjabi,microbacterium saperdae,,,,1,phagesdb
benjalauren,microbacterium foliorum,MN369737,,,1,phagesdb
benjamin,microbacterium foliorum,,,,1,phagesdb
benjamin1706,mycobacterium smegmatis,,,,1,phagesdb
benji,mycobacterium smegmatis,,,,1,phagesdb
benji3,mycobacterium smegmatis,,,,1,phagesdb
benjibear,mycobacterium smegmatis,,,,1,phagesdb
benllo,arthrobacter sp.,,,,1,phagesdb
benna,mycobacterium smegmatis,,,,1,phagesdb
bennet,microbacterium foliorum,,,,1,phagesdb
bennettbaby,mycobacterium smegmatis,,,,1,phagesdb
bennettnetta,arthrobacter globiformis,,,,1,phagesdb
bennie,arthrobacter sp.,KU160640,,,1,phagesdb
benny1,mycobacterium smegmatis,,,,1,phagesdb
benny24,arthrobacter globiformis,,,,1,phagesdb
benny25,microbacterium foliorum,,,,1,phagesdb
bennyboo,microbacterium foliorum,,,,1,phagesdb
bennyboy,mycobacterium smegmatis,,,,1,phagesdb
bennyp,mycobacterium smegmatis,,,,1,phagesdb
benoitcattle,gordonia terrae,PQ184834,,,1,phagesdb
benphranklin,mycobacterium smegmatis,,,,1,phagesdb
benry,microbacterium foliorum,PQ559673,,,1,phagesdb
benson,mycobacterium smegmatis,,,,1,phagesdb
bensonki,microbacterium foliorum,,,,1,phagesdb
benston,mycobacterium smegmatis,,,,1,phagesdb
benten,microbacterium foliorum,,,,1,phagesdb
bentherdunthat,gordonia terrae,MG099939,,,1,phagesdb
bentley,mycobacterium smegmatis,,,,1,phagesdb
bentley67,mycobacterium smegmatis,,,,1,phagesdb
bento,mycobacterium smegmatis,,,,1,phagesdb
benvolio,mycobacterium smegmatis,MK919472,,,1,phagesdb
benzkim,mycobacterium smegmatis,,,,1,phagesdb
beone,mycobacterium smegmatis,,,,1,phagesdb
beowulf,mycobacterium smegmatis,,,,1,phagesdb
beren,gordonia rubripertincta,,,,1,phagesdb
bergamont,mycobacterium smegmatis,,,,1,phagesdb
bergen,streptomyces griseus,,,,1,phagesdb
bergentruckung,gordonia terrae,,,,1,phagesdb
bergeron03,gordonia rubripertincta,,,,1,phagesdb
berk,microbacterium foliorum,,,,1,phagesdb
berka,arthrobacter globiformis,OQ938593,,,1,phagesdb
berkdining,microbacterium foliorum,,,,1,phagesdb
berkeley,microbacterium foliorum,,,,1,phagesdb
berkley,mycobacterium smegmatis,,,,1,phagesdb
berkson,mycobacterium smegmatis,,,,1,phagesdb
berlin,mycobacterium smegmatis,,,,1,phagesdb
berlioz,microbacterium foliorum,,,,1,phagesdb
bern,mycobacterium smegmatis,PV915877,,,1,phagesdb
bernadell,mycobacterium smegmatis,,,,1,phagesdb
bernadetta,microbacterium foliorum,,,,1,phagesdb
bernadette,mycobacterium smegmatis,,,,1,phagesdb
bernal13,mycobacterium smegmatis,KJ510413,,,1,phagesdb
bernard,mycobacterium smegmatis,,,,1,phagesdb
bernard15,mycobacterium smegmatis,,,,1,phagesdb
bernardchase24,mycobacterium smegmatis,,,,1,phagesdb
bernardo,mycobacterium smegmatis,KF493879,,,1,phagesdb
bernice,mycobacterium smegmatis,,,,1,phagesdb
bernicus,mycobacterium smegmatis,,,,1,phagesdb
bernie,mycobacterium smegmatis,,,,1,phagesdb
bernie1,mycobacterium smegmatis,,,,1,phagesdb
berns,mycobacterium smegmatis,,,,1,phagesdb
bernspeck,mycobacterium smegmatis,,,,1,phagesdb
bernstein,microbacterium foliorum,MH834599,,,1,phagesdb
berrie,arthrobacter globiformis,PP208921,,,1,phagesdb
berrier,microbacterium paraoxydans,,,,1,phagesdb
berries,gordonia terrae,PP978880,,,1,phagesdb
berriesncream,arthrobacter sp.,,,,1,phagesdb
berryfarm,arthrobacter globiformis,,,,1,phagesdb
berrypop,mycobacterium smegmatis,,,,1,phagesdb
bert,microbacterium foliorum,,,,1,phagesdb
bert1,mycobacterium smegmatis,,,,1,phagesdb
berta,mycobacterium smegmatis,,,,1,phagesdb
bertblest,mycobacterium smegmatis,,,,1,phagesdb
berte,mycobacterium smegmatis,,,,1,phagesdb
bertha,mycobacterium smegmatis,,,,1,phagesdb
bertinha,mycobacterium smegmatis,,,,1,phagesdb
bertram,mycobacterium smegmatis,,,,1,phagesdb
bertrand,mycobacterium smegmatis,,,,1,phagesdb
bertrum,microbacterium foliorum,,,,1,phagesdb
besitos,microbacterium foliorum,,,,1,phagesdb
besperis,mycobacterium smegmatis,,,,1,phagesdb
bessie,microbacterium foliorum,,,,1,phagesdb
bessiebaker,arthrobacter globiformis,,,,1,phagesdb
bestboi,microbacterium foliorum,,,,1,phagesdb
besticalplatus,mycobacterium smegmatis,,,,1,phagesdb
bestie,arthrobacter globiformis,,,,1,phagesdb
bestie4life,microbacterium sp.,,,,1,phagesdb
bestlaurence,microbacterium paraoxydans,,,,1,phagesdb
bestly69,mycobacterium smegmatis,,,,1,phagesdb
bestphever,mycobacterium smegmatis,,,,1,phagesdb
bestphriend,mycobacterium smegmatis,,,,1,phagesdb
beta0605,gordonia terrae,,,,1,phagesdb
betafish,arthrobacter globiformis,,,,1,phagesdb
beted,gordonia rubripertincta,,,,1,phagesdb
betelgeuse,mycobacterium smegmatis,,,,1,phagesdb
beth,microbacterium foliorum,,,,1,phagesdb
beth10,mycobacterium smegmatis,,,,1,phagesdb
bethanator,arthrobacter globiformis,,,,1,phagesdb
bethany,microbacterium foliorum,,,,1,phagesdb
bethel,microbacterium foliorum,,,,1,phagesdb
bethel18,microbacterium foliorum,,,,1,phagesdb
bethlehem,mycobacterium smegmatis,AY500153,,,1,phagesdb
beto,mycobacterium smegmatis,,,,1,phagesdb
betoeischens,microbacterium foliorum,,,,1,phagesdb
betsy,microbacterium foliorum,,,,1,phagesdb
betsyboy,mycobacterium smegmatis,,,,1,phagesdb
betsygirl,mycobacterium smegmatis,,,,1,phagesdb
bettercallsaul,mycobacterium smegmatis,,,,1,phagesdb
betterkatz,gordonia terrae,KU963261,,,1,phagesdb
betteryeti,gordonia rubripertincta,PV915818,,,1,phagesdb
betty,mycobacterium smegmatis,,,,1,phagesdb
bettyann,microbacterium paraoxydans,,,,1,phagesdb
bettyb,microbacterium foliorum,,,,1,phagesdb
bettysue,microbacterium foliorum,,,,1,phagesdb
bettywhite,microbacterium sp.,,,,1,phagesdb
betwixt,mycobacterium smegmatis,,,,1,phagesdb
beuffert,streptomyces platensis,MT952852,,,1,phagesdb
beverly,microbacterium foliorum,,,,1,phagesdb
bexan,mycobacterium smegmatis,MZ355722,,,1,phagesdb
bey14,mycobacterium smegmatis,,,,1,phagesdb
beychella,streptomyces mirabilis,,,,1,phagesdb
beyer,mycobacterium smegmatis,,,,1,phagesdb
beyhive,microbacterium foliorum,,,,1,phagesdb
beyoncage,gordonia terrae,MH576972,,,1,phagesdb
beyoncage4,gordonia terrae,,,,1,phagesdb
beyonce,mycobacterium smegmatis,,,,1,phagesdb
beyoncephae,gordonia terrae,,,,1,phagesdb
beyoncequeen,mycobacterium smegmatis,,,,1,phagesdb
bezv,microbacterium foliorum,,,,1,phagesdb
bezza,mycobacterium smegmatis,,,,1,phagesdb
bfelo,mycobacterium smegmatis,,,,1,phagesdb
bfensty,gordonia terrae,,,,1,phagesdb
bfrank,streptomyces griseus,,,,1,phagesdb
bfree1,mycobacterium smegmatis,,,,1,phagesdb
bglluviae,mycobacterium smegmatis,MN908692,,,1,phagesdb
bhageatrice,arthrobacter globiformis,PV876922,,,1,phagesdb
bhagsy,mycobacterium smegmatis,PV755396,,,1,phagesdb
bhakta,microbacterium foliorum,,,,1,phagesdb
bhala,mycobacterium smegmatis,,,,1,phagesdb
bham,mycobacterium smegmatis,,,,1,phagesdb
bharm,microbacterium foliorum,,,,1,phagesdb
bheemboozled,mycobacterium smegmatis,,,,1,phagesdb
bheeshma,gordonia terrae,,,,1,phagesdb
bhocolatebhip,mycobacterium smegmatis,,,,1,phagesdb
bhodi,microbacterium sp.,,,,1,phagesdb
bhonjo,mycobacterium smegmatis,,,,1,phagesdb
bhumi,gordonia terrae,,,,1,phagesdb
biaggio,mycobacterium smegmatis,,,,1,phagesdb
bialota,gordonia terrae,MK016492,,,1,phagesdb
biancatri92,mycobacterium smegmatis,MN586002,,,1,phagesdb
bianchetti,mycobacterium smegmatis,,,,1,phagesdb
bianmat,gordonia terrae,ON970588,,,1,phagesdb
bibble,microbacterium foliorum,,,,1,phagesdb
bibble12,arthrobacter globiformis,,,,1,phagesdb
bibble2004,arthrobacter globiformis,,,,1,phagesdb
bibble3000,arthrobacter globiformis,,,,1,phagesdb
bibble47,microbacterium foliorum,,,,1,phagesdb
biblo,mycobacterium smegmatis,,,,1,phagesdb
bibwit,gordonia terrae,MH976508,,,1,phagesdb
biby,mycobacterium smegmatis,,,,1,phagesdb
bico22,mycobacterium smegmatis,,,,1,phagesdb
biddle,mycobacterium smegmatis,,,,1,phagesdb
bidoof,microbacterium foliorum,,,,1,phagesdb
bieber,arthrobacter globiformis,,,,1,phagesdb
bieberphever,microbacterium foliorum,,,,1,phagesdb
biebs,mycobacterium smegmatis,,,,1,phagesdb
biegebaby,gordonia rubripertincta,,,,1,phagesdb
big20,mycobacterium smegmatis,,,,1,phagesdb
big3,mycobacterium smegmatis,MK967387,,,1,phagesdb
big4,microbacterium foliorum,ON637770,,,1,phagesdb
bigal,mycobacterium smegmatis,,,,1,phagesdb
bigandgreedy,microbacterium foliorum,,,,1,phagesdb
biganti,corynebacterium glutamicum,,,,1,phagesdb
bigapple,streptomyces mirabilis,,,,1,phagesdb
bigari23,arthrobacter globiformis,,,,1,phagesdb
bigbadrat,microbacterium foliorum,,,,1,phagesdb
bigbaloo,mycobacterium smegmatis,,,,1,phagesdb
bigbang,gordonia terrae,,,,1,phagesdb
bigbangheart,mycobacterium smegmatis,,,,1,phagesdb
bigbean,mycobacterium smegmatis,,,,1,phagesdb
bigbear,gordonia terrae,,,,1,phagesdb
bigben,mycobacterium smegmatis,,,,1,phagesdb
bigben2,mycobacterium smegmatis,,,,1,phagesdb
bigbenn,gordonia terrae,,,,1,phagesdb
bigbertha,mycobacterium smegmatis,,,,1,phagesdb
bigbill,mycobacterium smegmatis,,,,1,phagesdb
bigbird,mycobacterium smegmatis,,,,1,phagesdb
bigblue,streptomyces lividans,,,,1,phagesdb
bigboiabe,microbacterium foliorum,,,,1,phagesdb
bigboifunk,microbacterium foliorum,,,,1,phagesdb
bigboom,mycobacterium smegmatis,,,,1,phagesdb
bigboring,mycobacterium smegmatis,,,,1,phagesdb
bigboy,mycobacterium smegmatis,,,,1,phagesdb
bigboymona,mycobacterium smegmatis,,,,1,phagesdb
bigboyz,microbacterium foliorum,,,,1,phagesdb
bigbrain,mycobacterium smegmatis,,,,1,phagesdb
bigbro,arthrobacter sulfureus,,,,1,phagesdb
bigbubba,mycobacterium smegmatis,PP750964,,,1,phagesdb
bigbubbles,microbacterium foliorum,,,,1,phagesdb
bigbud,microbacterium foliorum,,,,1,phagesdb
bigbuddy,microbacterium foliorum,,,,1,phagesdb
bigbuffalo,gordonia terrae,,,,1,phagesdb
bigbull15,mycobacterium smegmatis,,,,1,phagesdb
bigbutte,mycobacterium smegmatis,,,,1,phagesdb
bigcat,microbacterium foliorum,,,,1,phagesdb
bigcat300,mycobacterium smegmatis,,,,1,phagesdb
bigchance,corynebacterium glutamicum,,,,1,phagesdb
bigchedda,microbacterium foliorum,,,,1,phagesdb
bigcheese,mycobacterium smegmatis,MH834600,,,1,phagesdb
bigchungi,mycobacterium smegmatis,PX136953,,,1,phagesdb
bigchungus,gordonia rubripertincta,MT776810,,,1,phagesdb
bigcity,mycobacterium smegmatis,,,,1,phagesdb
bigclementine,microbacterium foliorum,,,,1,phagesdb
bigcountry,arthrobacter globiformis,,,,1,phagesdb
bigcurtis,streptomyces sanglieri,,,,1,phagesdb
bigdada,microbacterium foliorum,,,,1,phagesdb
bigdaddy,mycobacterium smegmatis,,,,1,phagesdb
bigdawg,microbacterium foliorum,,,,1,phagesdb
bigdev,mycobacterium smegmatis,,,,1,phagesdb
bigdinklage,streptomyces mirabilis,,,,1,phagesdb
bigdip,mycobacterium smegmatis,,,,1,phagesdb
bigdome,arthrobacter sp.,,,,1,phagesdb
bigdrop,mycobacterium smegmatis,,,,1,phagesdb
biged,gordonia rubripertincta,,,,1,phagesdb
bigeddie,gordonia terrae,,,,1,phagesdb
bigelow,gordonia terrae,,,,1,phagesdb
bigelow1,gordonia terrae,,,,1,phagesdb
bigfeet,gordonia terrae,,,,1,phagesdb
bigfella,microbacterium foliorum,,,,1,phagesdb
bigfilliam,mycobacterium smegmatis,,,,1,phagesdb
bigfish,mycobacterium smegmatis,,,,1,phagesdb
bigflo,mycobacterium smegmatis,,,,1,phagesdb
bigfoot,mycobacterium smegmatis,KX702320,,,1,phagesdb
bigfortune,microbacterium foliorum,,,,1,phagesdb
bigfrigus,microbacterium foliorum,,,,1,phagesdb
bigfudge,mycobacterium smegmatis,,,,1,phagesdb
biggerbird,microbacterium foliorum,,,,1,phagesdb
biggestbird,mycobacterium smegmatis,,,,1,phagesdb
biggie,mycobacterium smegmatis,,,,1,phagesdb
biggiebag,microbacterium foliorum,,,,1,phagesdb
biggiecheese,streptomyces baarnensis,,,,1,phagesdb
biggiemac,mycobacterium smegmatis,,,,1,phagesdb
biggiesmall,microbacterium foliorum,,,,1,phagesdb
biggiesmalls,mycobacterium smegmatis,,,,1,phagesdb
biggitybass,gordonia terrae,ON260813,,,1,phagesdb
biggoat,gordonia terrae,,,,1,phagesdb
biggreg,microbacterium foliorum,,,,1,phagesdb
biggroundhog,arthrobacter globiformis,,,,1,phagesdb
bigguy,microbacterium foliorum,,,,1,phagesdb
biggysmalls,microbacterium foliorum,,,,1,phagesdb
bighagar,mycobacterium smegmatis,,,,1,phagesdb
bighair2022,microbacterium foliorum,,,,1,phagesdb
bighalo2,mycobacterium smegmatis,,,,1,phagesdb
bighead,mycobacterium smegmatis,,,,1,phagesdb
bigheadlarry,gordonia rubripertincta,,,,1,phagesdb
bighero,arthrobacter globiformis,,,,1,phagesdb
bighum,arthrobacter globiformis,,,,1,phagesdb
bighunkineater,gordonia terrae,,,,1,phagesdb
bigj,gordonia terrae,,,,1,phagesdb
bigjames,mycobacterium smegmatis,,,,1,phagesdb
bigjen,microbacterium foliorum,,,,1,phagesdb
bigjim,streptomyces griseus,,,,1,phagesdb
bigjoe,gordonia rubripertincta,,,,1,phagesdb
bigjudgey99,microbacterium foliorum,,,,1,phagesdb
bigjustice,microbacterium foliorum,,,,1,phagesdb
bigkite,mycobacterium smegmatis,,,,1,phagesdb
bigkitty,mycobacterium smegmatis,,,,1,phagesdb
biglebops,mycobacterium smegmatis,MH399770,,,1,phagesdb
bigliz,mycobacterium smegmatis,,,,1,phagesdb
biglouis,arthrobacter globiformis,,,,1,phagesdb
bigmack,arthrobacter sp.,MK112529,,,1,phagesdb
bigmaks,microbacterium foliorum,,,,1,phagesdb
bigmama,mycobacterium smegmatis,MH025888,,,1,phagesdb
bigmamallama,mycobacterium smegmatis,,,,1,phagesdb
bigman,mycobacterium smegmatis,,,,1,phagesdb
bigmancuz,gordonia terrae,,,,1,phagesdb
bigmau,mycobacterium smegmatis,MH450113,,,1,phagesdb
bigmeatyclaws,arthrobacter sp.,,,,1,phagesdb
bigmoney,mycobacterium smegmatis,,,,1,phagesdb
bignick,microbacterium foliorum,,,,1,phagesdb
bignoodle,microbacterium foliorum,,,,1,phagesdb
bignuz,mycobacterium smegmatis,JN412591,,,1,phagesdb
bigone,arthrobacter globiformis,,,,1,phagesdb
bigoof,microbacterium foliorum,,,,1,phagesdb
bigp,mycobacterium smegmatis,,,,1,phagesdb
bigpain,mycobacterium smegmatis,,,,1,phagesdb
bigpaolini,mycobacterium smegmatis,MK112530,,,1,phagesdb
bigpapa,mycobacterium smegmatis,,,,1,phagesdb
bigpapi,mycobacterium smegmatis,,,,1,phagesdb
bigpeaches,gordonia terrae,,,,1,phagesdb
bigphil,mycobacterium smegmatis,MH051248,,,1,phagesdb
bigphilbert,streptomyces griseus,,,,1,phagesdb
bigpop,mycobacterium smegmatis,,,,1,phagesdb
bigpoppa,mycobacterium smegmatis,,,,1,phagesdb
bigpoppa44,arthrobacter globiformis,,,,1,phagesdb
bigpopper33,mycobacterium smegmatis,,,,1,phagesdb
bigred,mycobacterium smegmatis,,,,1,phagesdb
bigredclifford,microbacterium foliorum,MT498049,,,1,phagesdb
bigredd,mycobacterium smegmatis,,,,1,phagesdb
bigrich,mycobacterium smegmatis,,,,1,phagesdb
bigron11,mycobacterium smegmatis,,,,1,phagesdb
bigsad,microbacterium foliorum,,,,1,phagesdb
bigsage,microbacterium foliorum,,,,1,phagesdb
bigsarah,microbacterium foliorum,,,,1,phagesdb
bigsby,microbacterium foliorum,,,,1,phagesdb
bigshaq,gordonia terrae,PV165876,,,1,phagesdb
bigsherm,arthrobacter globiformis,,,,1,phagesdb
bigsir,mycobacterium smegmatis,,,,1,phagesdb
bigsis,gordonia rubripertincta,,,,1,phagesdb
bigsky,mycobacterium smegmatis,,,,1,phagesdb
bigslim,mycobacterium smegmatis,,,,1,phagesdb
bigsmitty,mycobacterium smegmatis,,,,1,phagesdb
bigspikes,mycobacterium smegmatis,,,,1,phagesdb
bigsploofy,microbacterium foliorum,,,,1,phagesdb
bigstar,microbacterium foliorum,,,,1,phagesdb
bigswole,mycobacterium smegmatis,MF919495,,,1,phagesdb
bigtheodore,mycobacterium smegmatis,,,,1,phagesdb
bigtimerush,microbacterium foliorum,,,,1,phagesdb
bigtony,microbacterium foliorum,,,,1,phagesdb
bigtuna,streptomyces sanglieri,,,,1,phagesdb
bigvro,arthrobacter globiformis,,,,1,phagesdb
bigworm,microbacterium foliorum,,,,1,phagesdb
bigyeet,gordonia terrae,,,,1,phagesdb
bigyeez,mycobacterium smegmatis,,,,1,phagesdb
bigzubb,gordonia terrae,,,,1,phagesdb
bijou,mycobacterium smegmatis,,,,1,phagesdb
bijou2,microbacterium paraoxydans,,,,1,phagesdb
bike,arthrobacter globiformis,,,,1,phagesdb
biken,mycobacterium smegmatis,,,,1,phagesdb
biko,mycobacterium smegmatis,,,,1,phagesdb
bilahkay,mycobacterium smegmatis,,,,1,phagesdb
bilbo,mycobacterium smegmatis,,,,1,phagesdb
bilboswaggins,mycobacterium smegmatis,PX307262,,,1,phagesdb
bill,mycobacterium smegmatis,,,,1,phagesdb
billdoor,gordonia rubripertincta,PP208920,,,1,phagesdb
billiam,mycobacterium smegmatis,,,,1,phagesdb
billieb,arthrobacter globiformis,,,,1,phagesdb
billiken,mycobacterium smegmatis,,,,1,phagesdb
billius,mycobacterium smegmatis,,,,1,phagesdb
billknuckles,mycobacterium smegmatis,JN699000,,,1,phagesdb
billnye,streptomyces viridochromogenes,MG757153,,,1,phagesdb
billow,microbacterium foliorum,,,,1,phagesdb
billus,microbacterium foliorum,,,,1,phagesdb
billw,gordonia terrae,,,,1,phagesdb
billy,mycobacterium smegmatis,,,,1,phagesdb
billy2024,mycobacterium smegmatis,,,,1,phagesdb
billybob,arthrobacter globiformis,,,,1,phagesdb
billybobjo,microbacterium paraoxydans,,,,1,phagesdb
billybobjr,gordonia rubripertincta,,,,1,phagesdb
billybobsr,mycobacterium smegmatis,,,,1,phagesdb
billybuttons,mycobacterium smegmatis,,,,1,phagesdb
billyj,arthrobacter sp.,,,,1,phagesdb
billyjean,gordonia rubripertincta,,,,1,phagesdb
billymays,mycobacterium smegmatis,,,,1,phagesdb
billyp,mycobacterium smegmatis,,,,1,phagesdb
billypea,arthrobacter globiformis,,,,1,phagesdb
billyray,gordonia terrae,,,,1,phagesdb
billythekid,microbacterium foliorum,,,,1,phagesdb
billytp,arthrobacter globiformis,PP978841,,,1,phagesdb
bilmar,mycobacterium smegmatis,,,,1,phagesdb
bilo,streptomyces lividans,MZ820086,,,1,phagesdb
biloba,microbacterium foliorum,,,,1,phagesdb
bilybobjoe,mycobacterium smegmatis,,,,1,phagesdb
bimmel,streptomyces lividans,PX136954,,,1,phagesdb
bimothy,arthrobacter globiformis,,,,1,phagesdb
binebulous,mycobacterium smegmatis,,,,1,phagesdb
bing,streptomyces lividans,MG757154,,,1,phagesdb
bingbing,arthrobacter sp.,,,,1,phagesdb
bingbong,gordonia terrae,,,,1,phagesdb
bingbong02,arthrobacter globiformis,,,,1,phagesdb
bingchilling,microbacterium foliorum,,,,1,phagesdb
bingdu,mycobacterium smegmatis,,,,1,phagesdb
binglebop,microbacterium foliorum,,,,1,phagesdb
bingley,mycobacterium smegmatis,,,,1,phagesdb
bingo,mycobacterium smegmatis,,,,1,phagesdb
bingodog,arthrobacter sp.,,,,1,phagesdb
bingus,mycobacterium smegmatis,,,,1,phagesdb
bink,mycobacterium smegmatis,,,,1,phagesdb
binkbonk,microbacterium foliorum,ON970589,,,1,phagesdb
binkie,arthrobacter globiformis,,,,1,phagesdb
binksey,mycobacterium smegmatis,,,,1,phagesdb
binkster,streptomyces bicolor,,,,1,phagesdb
binky,mycobacterium smegmatis,,,,1,phagesdb
binoo,arthrobacter globiformis,,,,1,phagesdb
binson,microbacterium paraoxydans,,,,1,phagesdb
bintii,microbacterium foliorum,PQ184786,,,1,phagesdb
binubare,mycobacterium smegmatis,,,,1,phagesdb
binx,gordonia rubripertincta,,,,1,phagesdb
biobaby,microbacterium foliorum,,,,1,phagesdb
biolumbertha,microbacterium foliorum,,,,1,phagesdb
bios,gordonia terrae,,,,1,phagesdb
bioscum,streptomyces venezuelae,KY092483,,,1,phagesdb
biotre3,mycobacterium smegmatis,,,,1,phagesdb
biozilla,microbacterium foliorum,,,,1,phagesdb
bipauneto,gordonia terrae,MK376960,,,1,phagesdb
bipolar,mycobacterium smegmatis,KM597530,,,1,phagesdb
bipolarisk,mycobacterium smegmatis,MK450429,,,1,phagesdb
bipper,mycobacterium smegmatis,KU728633,,,1,phagesdb
bipye,mycobacterium smegmatis,,,,1,phagesdb
bir14,mycobacterium smegmatis,,,,1,phagesdb
birch,mycobacterium smegmatis,,,,1,phagesdb
birchdale,microbacterium sp.,,,,1,phagesdb
birchley,microbacterium foliorum,,,,1,phagesdb
birchlyn,streptomyces griseus,MK801722,,,1,phagesdb
birchwood,arthrobacter globiformis,,,,1,phagesdb
bircsak,mycobacterium smegmatis,KX522649,,,1,phagesdb
bird,mycobacterium smegmatis,,,,1,phagesdb
birdfeeder,microbacterium foliorum,ON456346,,,1,phagesdb
birdie,microbacterium paraoxydans,,,,1,phagesdb
birdinfrench,microbacterium foliorum,PV105551,,,1,phagesdb
birdman,microbacterium foliorum,,,,1,phagesdb
birdnerd,mycobacterium smegmatis,,,,1,phagesdb
birdperson,arthrobacter sp.,,,,1,phagesdb
birdsnest,mycobacterium smegmatis,MN813686,,,1,phagesdb
birdsong,gordonia terrae,PP208930,,,1,phagesdb
birdyg,mycobacterium smegmatis,,,,1,phagesdb
birksandsocks,gordonia terrae,MG099940,,,1,phagesdb
birthdayboy,gordonia rubripertincta,OR475261,,,1,phagesdb
birthdaycake,microbacterium foliorum,,,,1,phagesdb
birthsperate,mycobacterium smegmatis,,,,1,phagesdb
biryani,mycobacterium smegmatis,,,,1,phagesdb
bisbee,mycobacterium smegmatis,,,,1,phagesdb
biscayne,microbacterium foliorum,PP978855,,,1,phagesdb
biscocho,microbacterium foliorum,,,,1,phagesdb
biscotti,mycobacterium smegmatis,,,,1,phagesdb
biscuits,mycobacterium smegmatis,,,,1,phagesdb
biscute,arthrobacter globiformis,PV876945,,,1,phagesdb
bish,mycobacterium smegmatis,,,,1,phagesdb
bishop,mycobacterium smegmatis,,,,1,phagesdb
bishoperium,mycobacterium smegmatis,MK279897,,,1,phagesdb
biskit,gordonia terrae,ON970599,,,1,phagesdb
bison,mycobacterium smegmatis,,,,1,phagesdb
bisonbait,microbacterium foliorum,,,,1,phagesdb
bisou,microbacterium foliorum,,,,1,phagesdb
bisque,mycobacterium smegmatis,,,,1,phagesdb
bisquick,mycobacterium smegmatis,,,,1,phagesdb
bisten,streptomyces griseus,,,,1,phagesdb
bitburgh,gordonia terrae,,,,1,phagesdb
bitefury,arthrobacter globiformis,,,,1,phagesdb
bitesize,gordonia terrae,MT771348,,,1,phagesdb
bitsy,mycobacterium smegmatis,,,,1,phagesdb
bittah,mycobacterium smegmatis,,,,1,phagesdb
bittenbinder,gordonia terrae,,,,1,phagesdb
bittizilla,microbacterium foliorum,,,,1,phagesdb
bitty,microbacterium paraoxydans,,,,1,phagesdb
bivory,mycobacterium smegmatis,,,,1,phagesdb
bizakka,mycobacterium smegmatis,,,,1,phagesdb
bizarella,mycobacterium smegmatis,,,,1,phagesdb
bizon11,rhodococcus erythropolis,,,,1,phagesdb
bizzy,gordonia terrae,MH976509,,,1,phagesdb
bjanes7,gordonia terrae,MG099941,,,1,phagesdb
bjergsen,mycobacterium smegmatis,,,,1,phagesdb
bjgarden,microbacterium foliorum,,,,1,phagesdb
bjork,arthrobacter globiformis,,,,1,phagesdb
bjorn,mycobacterium smegmatis,,,,1,phagesdb
bkfootlettuce,microbacterium foliorum,,,,1,phagesdb
bkither,arthrobacter sp.,,,,1,phagesdb
bl1ar,streptomyces griseus,,,,1,phagesdb
blab,microbacterium foliorum,MZ322018,,,1,phagesdb
